iter	Passed	Remaining
0	46	46586
1	48	23952
2	48	16152
3	49	12228
4	49	9892
5	50	8334
6	51	7278
7	51	6418
8	52	5726
9	52	5198
10	53	4775
11	53	4394
12	53	4070
13	54	3819
14	61	4066
15	62	3825
16	62	3610
17	62	3420
18	68	3514
19	68	3367
20	69	3233
21	70	3130
22	71	3021
23	71	2903
24	71	2796
25	71	2697
26	72	2605
27	81	2827
28	82	2746
29	83	2692
30	84	2627
31	84	2551
32	84	2480
33	84	2413
34	85	2350
35	85	2290
36	86	2244
37	86	2189
38	87	2145
39	87	2105
40	88	2059
41	96	2208
42	97	2161
43	100	2182
44	101	2144
45	101	2101
46	101	2060
47	104	2069
48	104	2030
49	104	1992
50	105	1955
51	105	1920
52	112	2009
53	112	1975
54	113	1942
55	113	1909
56	113	1878
57	113	1848
58	114	1819
59	114	1790
60	114	1763
61	114	1737
62	115	1711
63	115	1687
64	115	1663
65	116	1644
66	116	1625
67	116	1603
68	117	1588
69	118	1570
70	118	1553
71	119	1536
72	119	1519
73	119	1500
74	120	1482
75	128	1560
76	128	1541
77	129	1528
78	129	1510
79	130	1497
80	130	1480
81	131	1467
82	131	1449
83	131	1433
84	131	1417
85	132	1402
86	132	1391
87	132	1376
88	139	1427
89	139	1412
90	140	1402
91	141	1398
92	141	1384
93	142	1370
94	142	1361
95	143	1351
96	144	1342
97	145	1335
98	145	1326
99	145	1313
100	146	1301
101	146	1292
102	147	1281
103	147	1273
104	154	1314
105	154	1306
106	155	1294
107	155	1286
108	156	1278
109	156	1267
110	157	1262
111	158	1255
112	158	1244
113	159	1237
114	159	1227
115	159	1216
116	160	1210
117	160	1200
118	160	1191
119	161	1184
120	168	1223
121	169	1216
122	169	1208
123	170	1201
124	170	1192
125	170	1184
126	171	1178
127	171	1169
128	172	1163
129	172	1154
130	172	1146
131	173	1142
132	174	1134
133	174	1126
134	174	1118
135	174	1110
136	175	1102
137	175	1095
138	175	1088
139	175	1080
140	176	1073
141	176	1065
142	176	1057
143	176	1050
144	176	1043
145	177	1036
146	177	1029
147	177	1022
148	177	1015
149	178	1009
150	178	1002
151	178	995
152	178	989
153	178	983
154	179	976
155	179	970
156	179	964
157	179	958
158	180	952
159	180	946
160	180	940
161	180	934
162	180	928
163	181	923
164	181	918
165	181	912
166	181	907
167	182	901
168	182	896
169	182	891
170	182	886
171	183	881
172	183	876
173	183	871
174	183	866
175	184	862
176	184	858
177	184	853
178	185	848
179	185	843
180	185	839
181	185	834
182	185	829
183	186	825
184	186	821
185	186	817
186	186	812
187	187	808
188	187	804
189	187	799
190	188	796
191	188	792
192	188	788
193	188	784
194	189	780
195	189	776
196	189	772
197	189	769
198	190	765
199	190	761
200	190	757
201	190	753
202	190	749
203	191	746
204	191	742
205	191	738
206	191	735
207	192	731
208	192	728
209	192	724
210	192	721
211	193	717
212	193	714
213	193	711
214	193	707
215	194	704
216	194	701
217	194	697
218	194	694
219	194	691
220	195	687
221	195	684
222	195	682
223	195	678
224	196	675
225	196	672
226	196	669
227	196	666
228	197	663
229	197	660
230	197	658
231	197	655
232	198	652
233	198	649
234	198	646
235	198	643
236	198	640
237	199	637
238	199	634
239	199	632
240	199	629
241	200	626
242	200	623
243	200	621
244	200	618
245	200	615
246	201	613
247	201	610
248	201	608
249	201	605
250	202	603
251	202	600
252	202	598
253	202	595
254	203	593
255	203	592
256	204	590
257	204	587
258	204	585
259	204	583
260	205	580
261	205	578
262	205	576
263	205	573
264	206	571
265	206	569
266	206	566
267	206	564
268	206	562
269	207	559
270	207	557
271	207	555
272	207	553
273	207	551
274	208	548
275	208	546
276	208	544
277	208	542
278	209	540
279	209	538
280	209	536
281	209	534
282	210	532
283	210	530
284	210	528
285	210	526
286	210	524
287	211	522
288	211	520
289	211	518
290	211	516
291	212	514
292	212	512
293	212	510
294	212	508
295	213	506
296	213	504
297	213	502
298	213	501
299	213	499
300	214	497
301	214	495
302	214	493
